application_round,project_wallet,last_updated,project_id,title,description,website,github_user,project_github,project_twitter,previous_funding,team_size,verified_twitter_or_github,links_to_github_or_org,created_at,updated_at
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x4a903f36037da9dc1e1992bc7b8d511170000b07,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:52,ENS DAO Newsletter,"A bi-weekly summary of the developments and happenings within ENS, ENS DAO, and its working groups.

The ENS DAO Newsletter started in March 2022 with the objective of providing transparency for ENS through publication of a bi-weekly newsletter -- An easy to read summary of the latest news and discussions designed to reach the widest audience possible.

The ENS DAO Newsletter editors stay up-to-date with what is happening in ENS every single day, so you don't have to. We crawl the forum, bookmark the important tweets, attend the working group calls, and ask the important questions to provide our readers with the absolute best source of ENS news and information, as it happens.



We provide a carefully curated summary of the latest governance proposals, working group discussions, protocol development, calls to action, market news, and other developments within the wider ENS ecosystem.",https://ensdaonews.eth.limo,daylon-dot-eth,,ensdaonews,"ENS DAO, Gitcoin",2,Yes,https://github.com/daylon-dot-eth,2023-01-06 22:20:23,2023-01-06 22:20:23
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xaf30b0285bb41bdbb732e4a533874901e4943522,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:172,EthereumCN ,"ECN functions as an Ethereum community network. The general purpose of ECN is to facilitate the perception and adoption of the Ethereum blockchain, the next-generation social infrastructure. To further involve Chinese speaking community as a part of the Ethereum world and to bridge the wider ecosystem with communities, we’re making fundamental efforts including education, translation, community building, news expression, communication, and event organizing.",https://www.ethereum.cn/,EthereumCN,,https://twitter.com/EthereumCN,"Ethereum Foundation, Gitcoin",6,yes,https://github.com/EthereumCN,2023-01-13 05:24:35,2023-01-13 05:24:35
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xb352bb4e2a4f27683435f153a259f1b207218b1b,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:103,eth.limo,"eth.limo is a privacy-preserving ENS gateway, enabling users to access Ethereum-native dApps and content. LIMO represents a shift in dweb adoption by providing an alternative means of accessing ENS resolvable domains.",https://eth.limo,eth-limo,ethlimo,eth_limo,"Ethereum Foundation Grants, ENS DAO Grants, Gitcoin Grants",4,Twitter has been verified but I cannot get our github to verify. I've spent over 3+ hours trying everything to make it work and currently have a support ticket open in the gitcoin discord. My username is SydMead400SuperDriver#0001,User Account: https://github.com/eth-limo Organization Account: https://github.com/ethlimo,2023-01-11 16:31:23,2023-01-11 16:31:23
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xdf6736104b732cf5d8fd7f3a8ef665c1a856649e,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:205,3 Box School,"3BoxSchool is an online learning platform, using the original online editor technology, users can interactively learn Solidity online, through the built-in online running editor technology, you can view and run the code in real time, users can more intuitive view the interface and content of the code after running.",https://school.3box.tech,https://github.com/nishuzumi,,BoxMrChen,Self,2,Yes,https://github.com/3BoxSchool,2023-01-14 20:18:47,2023-01-14 20:18:47
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x0406bf2dae6a42d567b4e3dba6ada99069622ff1,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:202,The Future of Work is Decentralized,"talentDAO is a community of digital vagabonds, deranged scientists, and renegade internet natives, passionate about DAOs and the future of work. We believe DAOs can provide a path forward where knowledge is decentralized and talent is unlocked for the betterment of society. 
 
There’s just one problem: The science of DAOs is yet to be known; it must be explored. It must be learned. Traditional scientific settings are largely broken due to outdated institutional norms, obsolete academic infrastructure, and inefficient funding models. So without hesitation, a team of researchers has taken the plunge down the Web3 rabbit hole to find a new solution. 
 Our focus is on building coordination software for the future of work, conducting applied research experiments with DAOs, and perpetuating decentralized work culture through art, media, education, and events.

At talentDAO we are studying layer zero and building human coordination experiments so that we might all benefit. In simplest terms, we are using science to fix DAOs and DAOs to fix science. To do this well will only be possible if science is given an infrastructure and culture upgrade. This is where we come in. 

Zooming out

 

DAOs create opportunities for global impact. Human coordination structures of this scale have never been available to solve challenges in scientific innovation until now. Over the next 20 years entire communities of scientists will organize using DAO structures. A digital nation of scientists operating as a DAO will dramatically improve the probability of achieving important sustainability goals mandated by the United Nations. We focus on four of them. 

 

Goal 8: Decent Work and Economic Growth

Everyone should have access to decentralized working arrangements. To see that through, we’re building the foundations required for a decentralized work economy starting with the talentDAO community. Our goal is to have the majority of members who wish to be bankless and self-sovereign workers a reality by 2030. Everyone should have the right to decent work, free from affliction and labor exploitation.
 

Goal 9: Build infrastructure and foster innovation

The traditional academic process has stifled innovation. The scientific record of knowledge is vulnerable to the risks of centralized Web2 storage. TalentDAO is building all of its research on a completely decentralized publication that is censorship resistant, immutable, and safely secured on Arweave. We are fostering innovation by allowing for a bottom up approach to research by creating an open social graph of scientists built on Lens Protocol. 
 

 

 

Goal 10: Reduce Inequality

Ensuring funding and educational resources are provided to all students across the world, not just the weird ones. Contributing to open source research that is accessible to all and with no paywall required. Traditional research publications systematically discriminate against students with less access to education resources. 
 

Goal 11: Sustainable cities and communities

 

In the future DAOs will be sovereign digital nations. At talentDAO, we aspire to create a Network State of interdisciplinary educational institutes, providing high quality education and research to all parts of the world, not just the privileged. We cannot go at this alone. That’s why we’ve teamed up with groups such as CityDAO and Sapien Network to scale together.


What we are building

 

Web3 solutions for scientific peer review, funding, and publication. Making it easy for any education program to launch a journal and sub-DAO.

 

Our first solution is a framework for a peer reviewed journal publication and open science social graph with native DAO governance on-chain integrated. We are building research primitives and governance technologies to help onboard the next 1000 web3 enabled research sub-DAOs.  

How we educate and advocate

 

Products take time but our mission can’t wait. That’s why we began creating original applied research from day one. Several emergent research projects have formed that are entirely driven by community participation and championed by a talentDAO researcher. We do our best to provide resources to these groups and onboard more students to help create new ones.

1. DAO Leadership: Sharing leadership is a key tenet of DAOs. Yet distributing leadership across members of a community is easier said than done: there are several instances of centralized leadership within the web3 ecosystem. For this reason we set out to study leadership in the decentralized world of work.

Our researchers are the heart of talentDAO, and in 2022 we saw the Research Guild come to life.

We are proud to share with you a list of 8 projects that we’ve been working on with our different community-operated teams. This is a summary of our milestones and things we will be working on during 2023, which promises to be an exciting year for the Research Guild. 


1) Network health survey
In decentralized organizations, we have the opportunity to analyze more data than ever before. Governance processes and other on-chain activity is made publicly available thanks to the blockchain and off-chain communication data is accessible through various API services. For example, both Discord and Discourse offer public APIs for data extraction.

But communication and on-chain activity still do not tell the complete picture of what is happening under the hood. We must also extract data on the psychosocial properties of the organization in order to have a complete understanding of the health of a DAO. To do so, our team has designed a survey that will collect the data necessary to understand the health of organizations so DAO leaders can take action to improve the experience of contributors. Learn more about our process of designing this survey and the theoretical discussion here.

We will be launching a series of organizational assessment pilot studies in 2023 with DAOs who want to use science-backed tooling to assess their community health. Survey participants will have access to a non-transferable proof of completion NFT made claimable at the end of the survey which will unlock access to future perks and drops. Survey participants will also have the option to opt into our data-sharing program and earn a share of transaction fees generated from our Data NFTs minted on Ocean Marketplace.

2) Project L.I.O.N.
L.I.O.N: Language Informatics on Organizational Networks

Project LION is a joint DAO effort from talentDAO and LabDAO to build natural language processing systems for analyzing and maintaining community health.

For DAOs specifically, transaction data can provide insight into on-chain governance operations and degrees of decentralization. However, many DAO operations occur off-chain in the form of relational data. And there is a particular piece of information that is both deeply insightful and stored off-chain: communication.

This is a software project that will build a tool that will allow us to do research. It is in the development stage and the team is raising funds on Gitcoin. Be sure to check out their grant page if you are as excited about this project as we are. The project roadmap write-up can be found here.

3) Decentralized Leadership
“DAOs don’t have hierarchies” “You don’t have a boss” “Daos are leaderless”

-Is that so?

At talentDAO, we believe that leadership emerges naturally in any human organization. DAOs are no exception to this, so we decided to study how leadership works in a decentralized space. We began with an extensive literature review on organizational leadership where we covered the last 25+ years of academic research.

Then we moved on to interview leaders from all over the world who work in different DAOs. We talked with more than 20 founders, core members, contributors with long experience in the space, and mentors. All that information is currently being qualitatively analyzed by our team, and we will present the results at ETHDenver and in a future publication.

Expect early research results to be communicated in January 2023. A series of educational workshops, leadership coaching tools, and training seminars will be designed based on the findings of our research on Decentralized Leadership.

4) Onboarding
One of the main pain points that DAOs suffer is trying to get a smooth onboarding experience that allows them to get and retain new members. Our team is working on a multi-phase study that aims to know more about the different strategies that the DAO ecosystem has to onboard new people, so we can identify best practices and strategies that suit the different kinds of DAOs. During 2022 the team focused on a literature review to examine existing frameworks to evaluate onboarding experiences (or induction processes, as traditional organizations call them). After that, those frameworks were adapted to the requirements of DAOs and now are ready to be tested in 2023.

In the coming months, phase 1 will be launched with the recruitment of mystery shoppers that will join different DAOs to experience their onboarding process. We will then evaluate this through ethnographic observations and surveys made with the frameworks we discovered through the literature review. Review more of the project deliverables on the team’s Notion page. 

5) DAOversity
This study is a collaboration with BanklessDAO where we made a survey asking questions about inclusivity and underrepresented groups, so we could know if members felt comfortable in their space. This is a qualitative confidential study and we managed to collect more than 150 surveys. Right now we are preparing to analyze these responses so we can share the results with the broader community. We are eager to discuss these results to keep debating about people feeling included in DAOs and how we can improve their experiences.

6) Discourse Knowledge Graph
So many DAO communities rely on Discourse to host their online forum discussions. These forum discussions are often focused on topics related to changes in the DAO’s protocol or improvements in governance. For a data scientist, the Discourse knowledge base is a treasure trove of data. So why not study it to understand the meta-science of DAO governance? This study seeks to do just that. 

While the study is in its infancy it has quickly garnered interest within the talentDAO research community. Several data scientists have quickly volunteered to develop a proof of concept of a sensing tool that uses NLP to analyze topics.

Check out the research proposal cross-posted on the Smart Contract Research Forum to learn more about future directions: research forum post

For the DAO hackers out there the data notebook has been made public to explore the NLP models being used.

7) Compensation
At talentDAO, we conducted a survey investigating the relationship between different compensation structures and contributors’ attitudes like motivation, satisfaction, commitment, and fairness perceptions. Using an experimental vignette study we wanted to understand if certain DAO compensation strategies resulted in more favorable perceptions of organizational justice. The four incentive strategies studied were bounties, Coordinape, hourly payment, and salary. Not surprisingly, salary was viewed as the fairest payment method. Study participants vocalized pay stability as an important factor when determining if they perceived a work environment as fair. Very interestingly, as the DAO community size grew bounty systems were progressively viewed as less favorable. We believe these findings will help inform future DAO compensation design in the tooling space.

This project was a joint effort with BanklessDAO where we collected 166 respondents. Read more about the full study here: DAO Compensation study

In 2023 the team aims to do more analysis of this data and then present a written document to share with the community. We also plan to have several open working sessions and webinars related to DAO compensation.

8) DAO Structure & Design study
The core objective of the DAO Structure & Design project is to create a well-researched body of knowledge about DAO structures and design. It is not an audit project about what exists, but more about how effective and impactful DAO structures should look like. This body of knowledge will be published so the broader community can discuss the results and make use of these insights.

Right now the team is finishing the literature review so they can move on to do structure analysis and interviews with DAO cartographers (those who map the organizational chart of the DAO) in Q1 2023. After that, the project will move on to Stage 2 to do in-depth interviews with builders, community managers, and experts in the DAO ecosystem to ask about organizational structures in web3 and to see what works and what doesn’t from their perspective.
",https://talentdao.io,,https://github.com/Talent-DAO,talentdao_,"Gitcoin Grants, Ocean Protocol Grants, SCRF, Arweave Grant, bootstrap",15,yes,https://github.com/Talent-DAO,2023-01-14 09:12:47,2023-01-14 09:12:47
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x18aa467e40e1defb1956708830a343c1d01d3d7c,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:240,JediSwap,"Note: Donations for this grant are for development only. Do not expect anything in return.


Highlights:
There is not a single person on any kind of contract in JediSwap. Everything is done by the community and 300+ contributors.

JediSwap is one of the first protocols to receive a grant from Starkware. JediSwap is all time #1 project on Gitcoin Grant from the funders count.

Argent-x(biggest wallet on StarkNet) integrated JediSwap to power swap functionality.


What is JediSwap?
JediSwap is a fully composable and permissionless AMM that enables users to swap assets and earn yields on their assets instantly with almost 0 gas fees. Builders can build more advanced applications on top of JediSwap without asking anyone's permission. JediSwap is completely open source for anyone else to use in any way they want.

JediSwap is built on StarkNet - a Validity Rollup on Ethereum enabling unlimited scalability to web3 while relying on the security of Ethereum.


JediSwap is an entirely community-driven project. Independent open-source contributors do everything, including development, design, and marketing. Anyone can come and start contributing by joining JediSwap Discord.



Who is behind it?
The Mesh Finance community is leading the development of JediSwap, which has been building in DeFi for the last 24 months. Mesh has been deploying and experimenting with multiple blockchains, including Ethereum, Polygon, Arbitrum, and almost all top DeFi protocols.

Mesh community is bottom-up; anyone can start contributing and become a leader as they contribute. There is no power concentration. Mesh has developed a system to measure all kinds of contributions, including development, design, community management, growth, etc. Compared to most DAOs, Mesh is not just decentralizing governance but enabling operations and execution in a community-driven way.



What is different?
The Mesh community believes that billions of people will come to crypto-only if it is cheap, secure, and easy to use.

Cheap - JediSwap will be one of the 1st gasless dapp on StarkNet.

Secure - Thanks to StarkNet, JediSwap leverages the security of Ethereum. Users never rely on multisig bridges to leverage a cheaper and scalable ecosystem.

Simplicity - JediSwap believes in simplicity both for users and builders. Users can swap or earn by adding liquidity in one single click. By keeping the simplicity rule on the smart contracts level, JediSwap also enables devs to build many different kinds of applications, which was impossible on L1s before. There are already 25+ teams building on top of JediSwap. These applications include creating on-chain games, metaverse projects, cross-chain apps, aggregators, and furucombo style dapps.

Community - There is not a single employee at JediSwap, and everything is done by the community.



Why Validity Rollups (aka ZKRollups) and StarkNet?
The next wave of crypto will come for various non-financial applications like gaming. As a result, there will be a 100x number of tokens launching on scalable L2s instead of L1s. These users will prefer the cheapest tx and the most uncomplicated applications that are easy to understand and use. The Mesh community believes StarkNet is a front-runner in the Validity Rollup (also known as ZKRollup) ecosystem. The mesh community has been building on StarkNet since October 2021 and has seen a 20x increase in the number of builders building on StarkNet.



What else is special?
While building JediSwap, the Mesh community is publishing many public goods. Some of the published public goods include

StarkNet React library - it saves hours of work for any builder building a frontend app on StarkNet

Base64 encoding in Cairo - a primitive which can make generative art possible on Starknet

DeFi Pooling(coming soon) - Enabling access to L1 apps by batching txs on StarkNet

DAO tools and frameworks: 
- Ability to give Discord/Twitter contributors tokens/NFTs while preserving the privacy
- An alert bot for Discord communities and contributors to make coordination easy



Roadmap:
Current:
Mainnet - JediSwap launched on StarkNet mainnet on 30th Nov 2022, and 10000+ users have used JediSwap since then.

Testnet - JediSwap launched on StarkNet testnet on Jan 2022 and 150,000+ user have used the JediSwap on testnet since then.

Next 3 months:
Integrations - focus on building integrations with 50+ dapps
Launch DeFi Pooling as a public good
Onchain contributor profile
Productionize DAO tools to make them usable by any community

",https://jediswap.xyz,jediswapintern,jediswaplabs,jediswap,Gitcoin grant mainly. No external funding. Mesh Finance started it which raised a very small round in 2021.,300+ contributors (dev + non dev),Yes,"https://github.com/jediswapintern, https://github.com/jediswaplabs",2023-01-17 07:47:47,2023-01-17 07:47:47
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xd525ff26f45f3b7d20cfef170e2cb9e601a0b4da,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:191,CirclesUBI,"CirclesUBI is an unconditional basic income system for communities. With Circles, people can collectively self-organise their own wealth and give each other a basic income, without waiting for the state. 

Since launching in October 2020 the Circles community has grown, now 200k+ accounts deployed around the globe via the circles.garden interface (on Gnosis Chain).

 Since then, we have been busy improving our infrastructure, nurturing the Circles ecosystem and creating strong local connections with the Berlin Open UBI Pilot.  Watch a video of how the ecological circular economy in Berlin works, powered by Circles: https://vimeo.com/769402776  

Universal basic income means that we are being valued just because we exist and that we do not have to pay rent for having been born on Earth. 
Circles leverages pioneering Web 3 technology to bring forth a more ecological and fair world into being. By funding Circles via this Gitcoin Grant, you help create a distributed, community-first basic income around the world. The funds you give us will go into improving our Circles-core infrastructure in order to give people a better experience when using Circles to pay and buy the things that they need to live, community building & lastly to our ongoing research pilot which combines novel network science with anthropological methods.

Support us!


Read our white paper https://github.com/CirclesUBI/whitepaper

Our code is open source https://github.com/CirclesUBI/

Get more information https://joincircles.net/

Circles Coop website (mainteners and developers of circles.garden) https://circles.coop/

Chat with us! https://t.me/CirclesUBIGeneralChat

Developer chat: http://chat.joincircles.net/ ",https://joincircles.net,,https://github.com/CirclesUBI,twitter.com/circlesubi,Donations and Grants.,15 people,not yet,https://github.com/CirclesUBI ,2023-01-13 17:45:47,2023-01-13 17:45:47
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x65a0af703047dfdd270361659d02f4f0e8547202,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:77,word block,"Wordblock is a block based note-taking tool with ownership control.

-Wordblock extension

You can clip any text from any website, add tags, comments, and save the location (URL) as metadata.

You can write block-based memos, add tags and extra information(e.g. the real location: 📍🚶‍♀️38W,4S). For example, when you pick up a book in an antique bookstore, and you want to ""steal"" some words from it before you take it home.

The text is generated under the user's own DID signature, while data is stored on a distributed content storage network--IPFS to enable public search.

- Wordblock.xyz - a global text block search engine

All the word blocks created will be pooled in one place for public search, or later public reference.

For example, you can process public block searches via tags, keywords, or user DID

Compared with local storage note-taking tools like obsidian or central storage Roamresearch, the difference is in data storage in order to achieve public block search.

- Use cases

1) A social graph
After collecting those text blocks, it is easy to form P2P social relations*(e.g. walletChat)* via tag matching.

2) A decentralized multi-lingual literature library
The inspiration is when I visited an ancient Malatestiana library (the 1st public library in human history) in Cesena, Italy.

Each codex is tied to the desk with a root ironed chain, so that precise objects could not be stolen, it is now a symbol of the arts of literature, copies include 20 years italian, french and german s copy by using humane scripture called ""literature antiqua"", text includes classical latin authors, churchenergy , greek…

It's like a warm salute from afar history that tells how humans keep words and knowledge. In the context of today, we stand a chance to ""chain text"" differently and interestingly with technology.

Today, we care less about ""preventing books from being stolen"" but about ""HOW things are connected"", so the desire to build a distributed literature dictionary(library) where people from anywhere in the world could contribute their input even in different languages.

For example, after I read the Chinese version of《Mr.Gywn》, I para-read the original Italian version, then build the connections in between. It is one of the very fun techniques for acquiring a second language through intertextuality, while also a way to let the machine know how people from different linguistic computing systems tell the SAME story.

Read more: https://mirror.xyz/0x65a0Af703047dfDd270361659d02f4f0E8547202/YmbixVzwGJ0l46X6PDtVBbYY64Jd-SfRSD8usBZUzno

3) A data graph
we are in the early stage of defining data as an asset with maturing infrastructure like IPFS, Ceramic network, dataverseOS etc, the excitement of web3 is the data as streams that can be visualized and later used by individuals. We could first collect those fragmented attentions 👀 with ease, and then browse/ the data, or re-organize(reference) with personal signature.

- Tech

1) Ceramic Streams
Wordblock uses Ceramic Stream to store the JSON metadata of a block. Metadata includes BlockID, Creation Date, Source URL, Author, Tags, Type, and Content. The DID of the user submitting the block to the Ceramic network is also bound to the metadata. The Wordblock data model can be shared between anplications on the Ceramic network.

2) web3.storage
Wordblock uses web3.storage for data backup and permanent storage. Our backend API can get all the blocks created by the given user DID to implement a global search on the wordblock.xyz page.

- Reference
[1] wordblock github
https://github.com/fat-garage/wordblock

[2]wordblock gitcoin
https://gitcoin.co/grants/2445/fat-garage-the-word-block
[3]wordblock on IPFS grant
https://github.com/ipfs/devgrants/issues/278",https://wordblock.xyz/,https://github.com/fat-garage/wordblock,,https://twitter.com/JESSCATE93,donation/grants,5,yes,https://github.com/fat-garage/wordblock,2023-01-08 15:51:35,2023-01-08 15:51:35
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x9d100f017095e53b24d81296bca1d26742f1800f,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:60,StarkDeFi,"StarkDeFi is a suite of decentralized financial products (DeFi) that leverages the Zero-Knowledge (ZK) Rollup capabilities offered by StarkNet.

We aim to facilitate and simplify the onboarding process for the ""Next Generation User"" in the blockchain space.

Our Products

⚡️ Synergy Pool (Variable Rewards Mechanism) 

⚡️ AMM

⚡️ Farm

⚡️ Liq Locker 

⚡️ Launchpad 

⚡️ Mint (NFT/Token)

⚡️ Staking Pool 

Utilizing StarkNet’s scaling solution that will reduce gas fees and improve reliability, StarkDeFi is building a suite of financial products that will bridge the gap for the next wave of DeFi and crypto enthusiasts. With StarkDeFi's solutions, crypto enthusiasts, as well as technical users, will be able to access the benefits of StarkNet, the leading decentralized ZK-Rollup on Ethereum.

StarkDeFi is ensuring that Starknet will be available to everyone. By creating a simple UI, with AI assistance we have our users at the forefront of what we are building and for projects wanting to launch on Starknet, we aim to tackle the issue of learning 'Cairo' by enabling projects to mint, lock liquidity and use our launchpad without the need to learn a new programming language, essentially bridging the gap between Ethereum and Starknet. 

",https://www.starkdefi.com,https://github.com/Starkdefi/StarkDefi-contracts,,StarkDefi,GR15,4,YES,https://github.com/Starkdefi/StarkDefi-contracts,2023-01-09 20:47:11,2023-01-09 20:47:11
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xa3c2e3d65206dee0456416f8189de7cf4fccbb22,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:203,Malicious Contract Detector,"The Malicious Contract Detector project aims to use advanced machine learning techniques to analyze the code of new contracts and identify potential issues or vulnerabilities. The project is divided into two main parts: research and development.

In the research phase, a variety of algorithms and feature sets will be analyzed, including function signature hashes, abstract syntax trees, opcodes, and even approximate source code, to determine the optimal approach for identifying malicious contracts. The goal is to create a finished machine learning model that can accurately classify contracts as safe or potentially harmful.

In the development phase, the bot will be created and the process of transforming contract code into a feature set for analysis will be optimized. The focus will be on ensuring that the bot can handle high volumes of incoming contracts in real-time, while maintaining a high level of accuracy and precision.

The project is currently in the alpha testing stage, with initial results indicating that the BERT transformer model has shown promising results in classifying malicious contracts. A set of bots using different models will be created in order to further improve the accuracy and reliability of the Forta bot.",https://github.com/venglov/Malicious-Contract-Detector,venglov,,vvlovsky,GitCoin,1,Yes,https://github.com/venglov,2023-01-14 13:31:59,2023-01-14 13:31:59
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x7b736fe138775d1fcd2cfe4e1d6158bff3a2f28e,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:214,ENS Spoofing Bot,"ENS Spoofing Bot detects attacks in which someone registers a name visually similar to an existing one. Every ENS user can receive a notification if it happened to their name. 


The problem

Names in the Ethereum Name Service are unique, but there are no restrictions on registering look-alike names that are visually very difficult to distinguish from genuine ones. For example, having a name vitalik.eth, an attacker can register a similar name by replacing the symbol lowercase L with uppercase i: vitaIik.eth. The name is visually similar, but it is treated by the protocol as a completely different name, with its own hash, as well as an address bound to it. 

This type of attack is called a homograph attack. Regarding the ENS protocol, it can be performed in the following ways:
- Substitution of character pairs i/I, i/j, O/0, w/vv, m/rn, etc., which depending on the typeface, may be difficult or impossible to distinguish;
- Replacing ASCII characters with visually similar ones from Unicode; for example, “faсebooсk.eth” uses the letters o and с from Cyrillic;
- Use of invisible Unicode symbols; 
- Spoofing using uppercase letters; for example, bitcoin.eth may be spoofed as Bitcoin.eth. 

ENS fights this attack pretty hard by normalizing names before they are registered, as well as warning against using non-ascii characters on its site. However, to save gas, such checks have been implemented off-chain, on the frontend side. Any user can register a name bypassing the official site by calling the protocol contract directly.


The solution

Develop a Forta bot that monitors on-chain contract events responsible for registering "".eth"" names. As soon as the bot detects a new registered name, it tries to normalize it and checks if a similar name has already been registered. If so, the bot fires an alert specifying the registered name, the existing normalized name, and the addresses of the accounts to which these names are bound.

Forta Protocol allows each user to subscribe to alerts involving their addresses, so if their name is spoofed, they will immediately receive a notification in one of the convenient ways: Email, Telegram, Discord, Slack or Webhook.

In addition, when combined with bots that detect subsequent stages of suspicious activity, we will have enough evidence to claim a scam attack. For example, the next follow-up checks could be obtaining tokens, selling them, and laundering funds through services like Tornado Cash. 

As a result, the Forta ENS Spoofing Bot will play an important role in detecting scam attacks, maximizing the chances of their detection.


About the Author

I'm a Ukrainian developer, who has been developing bots for Forta Protocol since the beginning of the project. You may have seen me as a frequent contest winner as well as an active member of the community. At the moment I developed 19 bots, some of them are in the Forta Threat Detection Kit.",https://github.com/kovart/forta-ens-spoofing,kovart,,kovart_dev,GR15; none at this time.,1,Yes,https://github.com/kovart,2023-01-15 22:41:23,2023-01-15 22:41:23
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xd6eef6a4ceb9270776d6b388cfaba62f5bc3357f,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:53,Krebit,Krebit uses Web3 verifiable reputation and escrow payments to build a fairer Web2 marketplace and help people Earn more.,https://krebit.id,krebit,KrebitDAO,KrebitID,Gitcoin GR12-14,2,yes,https://github.com/KrebitDAO,2023-01-06 22:42:35,2023-01-06 22:42:35
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x70b20209c83ec8d01e3c7f2ec77bde7c40cdf2f6,0,10:0x8e1bD5Da87C14dd8e08F7ecc2aBf9D1d558ea174:45,W3.work,"W3.work - Events and Collabs in Metaverse

[RESHAPING THE SOCIAL EXPERIENCES IN WEB3]

WHAT IS W3.WORK?
W3.work is a fully decentralized social Metaverse built on decentralized social protocols for Web3.0 professionals, which significantly improves the efficiency of social events, business networking, and remote working for Web3.0 teams.

Problems
Lack of IRL connections, especially when online events are becoming more common during the post-pandemic era.
Lack of security and privacy, Web3 professionals are stuck with Web2 tools and social media.
Lack of credibility and trust, especially regarding business networking and collaboration.

W3.work Provides:
A Gamified Metaverse for events and social networking - connecting Web3.0 organizations, teams, VCs, and creators
A trustful collaboration tool of Web3 - empowering innovation and creativity.

W3.work is a business social Metaverse.
W3.work is a business ecosystem.
W3.work is your Web3 network.
Not just online meetings...

Start a W3.Events anywhere, anytime.
W3.Events ensure the quality of online events, while also promising the best and the most immersive experience for both event organizers and attendees.

A typical event day at W3.work consists of much more than yawning in countless Zoom meetings and twitter spaces in front of your laptop.

Wandering through the W3.work Metaverse, greeting your friends with GM to begin a lovely day.
With conferences, business development, remote collaboration, parties, and other engaging Web3 activities, one day at W3.work couldn't get any more fun and productive.

W3.work is looking for massive adoption in the near future, with the hope of bringing Metaverse and social styles together for people to connect and collaborate in the Web3.0 economy.

Consider a small donation to help us keep building this beautiful Metaverse!
All early funders will be Whitelisted to the latest features and be granted W3.work Early Supporter SBT(SoulBound Token)!

Alpha Version
Our alpha version is out! Welcome to try it out today at: https://alpha.w3.work/",https://alpha.w3.work,laborigin,laborigin,w3_work,not funded yet,9,Yes,https://github.com/laborigin,2023-01-15 10:55:59,2023-01-15 10:55:59
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x71c7252cc1afc181704ff7fded27486f5ccd9205,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:209,Esteroids - a community .eth websites search engine,"Esteroids (esteroids.eth) is a community search engine for .eth websites! 

While the .eth web previously offered a variety of innovative .eth websites, it lacked the tools to collect, explore and showcase these websites to the community.

We, therefore, launched esteroids.eth in April 2021 in order to give .eth websites a dedicated search engine. 

We see the .eth web as a fundamental piece of future Ethereum, and a community search engine as a fundamental infrastructure for this web.
",https://esteroids.eth.limo,eyalron33,esteroids,e_steroids,None,2,"I did on Gitcoin, I don't find where to do that on the Grants Hub",https://github.com/eyalron33/ https://github.com/Esteroids/,2023-01-15 09:16:47,2023-01-15 09:16:47
